F61E	0F400F900F72
F61F	0F400F900F74
F620	0F400F94
F621	0F400F940F74
F622	0F400F940F7B
F623	0F400F940F7C
F624	0F400FA90F7A
F625	0F400FAA0F72
F626	0F400FAA0F74
F627	0F400F9A
F628	0F400F9A0F72
F629	0F400F9A0F7C
F62A	0F400F9E0F72
F62B	0F400F9E0F7A
F62C	0F400F9E0F7C
F62D	0F400F9F
F62E	0F400F9F0F71
F62F	0F400F9F0F72
F630	0F400F9F0F710F72
F631	0F400F9F0F7A
F632	0F400F9F0F7C
F633	0F400F9F0FB20F72
F634	0F400FA00F7C
F635	0F400FA00F7E
F636	0F400FA8
F637	0F400FB10F71
F638	0F400FB10F7B
F639	0F400FB20F710F72
F63A	0F400FB20F710F74
F63B	0F400FB20F720F7E
F63C	0F400FB20F710F740F7E
F63D	0F400FB30F7B
F63E	0F400FAD0F72
F63F	0F400FAD0F7A
F640	0F400FAD0F7E
F641	0F400FB40F72
F642	0F400FB40FB20F740F83
F643	0F690F710F72
F644	0F690F710F74
F645	0F690FB20F80
F646	0F690FB20F710F80
F647	0F690FB30F80
F648	0F690FB30F710F80
F649	0F690F7A
F64A	0F690F7D
F64B	0F690F7E
F64C	0F690F710F7E
F64D	0F690F9E
F64E	0F690FA8
F64F	0F690FA80F71
F650	0F690FA80F72
F651	0F690FA80F7A
F652	0F690FB1
F653	0F690FB2
F654	0F400FB60F7E
F655	0F410F710F72
F656	0F410FB20F710F80
F657	0F410F7B
F658	0F410F7D
F659	0F410F7E
F65A	0F410F720F7E
F65B	0F410F740F7E
F65C	0F880F91
F65D	0F410F9A
F65E	0F410FB10F71
F65F	0F410FB10F7B
F660	0F410FB10F7B0F7A
F661	0F410FB20F71
F662	0F410FB20F7E
F663	0F410FB20F740F7E
F664	0F410FB3
F665	0F410FAD0F710F74
F666	0F420F710F72
F667	0F420F710F80
F668	0F420FB20F710F80
F669	0F420F7B
F66A	0F420F710F7C
F66B	0F420F7D
F66C	0F420F7E
F66D	0F420F740F7E
F66E	0F420F920F71
F66F	0F420F920F72
F670	0F420F920F74
F671	0F420F940F7A
F672	0F420F99
F673	0F420F9E0F72
F674	0F420F9F
F675	0F420F9F0F74
F676	0F420F9F0F7C
F677	0F420FA10FB70F72
F678	0F420FA3
F679	0F420FA30F72
F67A	0F420FA30F710F72
F67B	0F420FA30F7A
F67C	0F420FA8
F67D	0F420FB10F71
F67E	0F420FB10FAD0F72
F67F	0F420FB20F71
F680	0F420FAD0F72
F681	0F420FB6
F682	0F420FB60F72
F683	0F430F710F74
F684	0F430FB2
F685	0F430FB20F71
F686	0F430FB20F72
F687	0F430FB20F710F72
F688	0F430FAD
F689	0F430FB3
F68A	0F440F710F74
F68B	0F440F710F7C
F68C	0F440F90
F68D	0F440F900F71
F68E	0F440F900F74
F68F	0F440F900FB20F72
F690	0F440F900F7A
F691	0F440F91
F692	0F440F92
F693	0F440F920F71
F694	0F440F920F72
F695	0F440F920F710F72
F696	0F440F920F74
F697	0F440F920F7A
F698	0F440F94
F699	0F440FB3
F69A	0F440FB4
F69B	0F440FB40F72
F69C	0F440FB40F74
F69D	0F590FB2
F69E	0F590F710F72
F69F	0F590F710F80
F6A0	0F590F710F74
F6A1	0F590FB20F80
F6A2	0F590FB20F710F80
F6A3	0F590F710F7A
F6A4	0F590F7B
F6A5	0F590F710F7C
F6A6	0F590F7D
F6A7	0F590F7E
F6A8	0F590FA9
F6A9	0F590FA90F71
F6AA	0F590FAA
F6AB	0F590FAA0F71
F6AC	0F590FAA0F72
F6AD	0F590FAA0F7A
F6AE	0F590FB10F7B
F6AF	0F590FB3
F6B0	0F590FAD
F6B1	0F590FAD0F71
F6B2	0F5A0F710F72
F6B3	0F5A0F710F74
F6B4	0F5A0FA9
F6B5	0F5A0FAA0F71
F6B6	0F5A0FB1
F6B7	0F5A0FAD0F71
F6B8	0F5A0FAD0F7C
F6B9	0F5B0F710F72
F6BA	0F5B0F710F74
F6BB	0F5B0FB20F80
F6BC	0F5B0F710F7A
F6BD	0F5B0FAB0F74
F6BE	0F5B0F99
F6BF	0F5B0F990F71
F6C0	0F5B0F990F72
F6C1	0F5B0F990F710F72
F6C2	0F5B0FA1
F6C3	0F5B0FB1
F6C4	0F5B0FB10F7C
F6C5	0F5B0FB2
F6C6	0F5B0FB20F71
F6C7	0F5B0FB20F72
F6C8	0F5B0FB20F7A
F6C9	0F5B0FAD
F6CA	0F5B0FAD0F710F72
F6CB	0F5C0F7A0F7A
F6CC	0F490F710F72
F6CD	0F490F710F80
F6CE	0F490FA9
F6CF	0F490FA90F71
F6D0	0F490FA90F72
F6D1	0F490FA90F74
F6D2	0F490FA90F7C
F6D3	0F490FAA
F6D4	0F490FAA0F72
F6D5	0F490FAB
F6D6	0F490FAB0F71
F6D7	0F490FAB0F72
F6D8	0F490FAB0F74
F6D9	0F490FAB0FB7
F6DA	0F490F99
F6DB	0F490FB30F72
F6DC	0F4A0F710F72
F6DD	0F4A0F710F74
F6DE	0F4A0F7E
F6DF	0F4A0F90
F6E0	0F4A0F900F7E
F6E1	0F4A0F9A
F6E2	0F4A0F9A0F72
F6E3	0F4A0FBB
F6E4	0F4A0FBB0F7B
F6E5	0F4A0FAD0F710F7E
F6E6	0F4B0F800FB2
F6E7	0F4B0FB1
F6E8	0F4C0F710F72
F6E9	0F4C0F710F74
F6EA	0F4C0FB30F72
F6EB	0F4C0F7E
F6EC	0F4C0F7C0F7E
F6ED	0F4C0F92
F6EE	0F4C0F920FB2
F6EF	0F4C0F9C
F6F0	0F4C0F9C0FB7
F6F1	0F4C0FA30F71
F6F2	0F4C0FBB
F6F3	0F520F710F74
F6F4	0F520FB2
F6F5	0F4E0F710F72
F6F6	0F4E0F710F74
F6F7	0F4E0F710F7E
F6F8	0F4E0F9A
F6F9	0F4E0F9A0F72
F6FA	0F4E0F9A0F7A
F6FB	0F4E0F9C
F6FC	0F4E0F9C0F72
F6FD	0F4E0F9C0F7A
F6FE	0F4E0F9C0F7C
F6FF	0F4E0F9C0FB7
F700	0F4E0F9E
F701	0F4E0F9E0F72
F702	0F4E0F9E0F7A
F703	0F4E0FB1
F704	0F4E0FB10F71
F705	0F4E0FB10F7A
F706	0F4E0FB10F7E
F707	0F4F0F710F72
F708	0F4F0FB20F710F80
F709	0F4F0F710F7A
F70A	0F4F0F7BB
F70B	0F4F0F710F7C
F70C	0F4F0F7D
F70D	0F4F0F7E
F70E	0F4F0F83
F70F	0F4F0F710F7E
F710	0F4F0F720F7E
F711	0F4F0F710F720F7E
F712	0F4F0F90
F713	0F4F0F900F71
F714	0F4F0F900F74
F715	0F4F0F9F
F716	0F4F0F9F0F71
F717	0F4F0F9F0F72
F718	0F4F0F9F0F74
F719	0F4F0F9F0F83
F71A	0F4F0F9F0F710F7E
F71B	0F4F0F9F0FB2
F71C	0F4F0FA00F71
F71D	0F4F0FA3
F71E	0F4F0FA30F71
F71F	0F4F0FA30F7A
F720	0F4F0FA4
F721	0F4F0FA40F74
F722	0F4F0FA40F710F74
F723	0F4F0FA8
F724	0F4F0FA80F71
F725	0F4F0FA80FB1
F726	0F4F0FB1
F727	0F4F0FB10F71
F728	0F4F0FB10F74
F729	0F4F0FB10F7A
F72A	0F4F0FB10F7E
F72B	0F4F0FB20F71
F72C	0F4F0FB20F710F72
F72D	0F4F0FB20F710F74
F72E	0F4F0FB20F7B
F72F	0F4F0FB20F7D
F730	0F4F0FB20F7E
F731	0F4F0FB20F710F7E
F732	0F4F0FB20F710F83
F733	0F4F0FB20F720F7E
F734	0F4F0FB20F710F720F7E
F735	0F4F0FBC0FB1
F736	0F4F0FBC0FB10F7E
F737	0F4F0FAD
F738	0F4F0FAD0F71
F739	0F4F0FAD0F72
F73A	0F4F0FAD0F7A
F73B	0F4F0FAD0F7E
F73C	0F4F0FAD0F710F7E
F73D	0F4F0FB60F7E
F73E	0F500F710F72
F73F	0F500F710F74
F740	0F500FB20F710F80
F741	0F500F710F7A
